school,region,method,old_lat,old_lon,new_lat,new_lon
KOFORIDUA TECH. INST.,EASTERN,TOWN_LOOKUP:KOFORIDUA,6.1132592,-0.2853714,6.0833,-0.2667
NKAWKAW SENIOR HIGH SCHOOL,EASTERN,TOWN_LOOKUP:NKAWKAW,5.8771706,0.3662603,6.55,-0.7667
"SAVIOUR SENIOR HIGH SCHOOL, OSIEM",EASTERN,SCHOOL_OVERRIDE,5.9926294,0.8187733,6.2167,-0.6333
AKIM ASAFO SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,10.6593164,-1.268658,6.2333,-0.65
TARKROSI COMM. SENIOR HIGH SCHOOL,EASTERN,TOWN_LOOKUP:TARKROSI,7.993766,-0.326021,6.55,-1.0667
"ST. ROSE'S SENIOR HIGH SCHOOL, AKWATIA",EASTERN,SCHOOL_OVERRIDE,9.389042,-0.8285041,5.9833,-0.8
MPAHA COMMUNITY DAY SENIOR HIGH SCHOOL,SAVANNAH,SCHOOL_OVERRIDE,7.993766,-0.326021,9.0833,-1.8167
ADA TECH. INST.,GREATER ACCRA,SCHOOL_OVERRIDE,5.8622899,0.5959944,5.7975,0.6258
ANUM APAPAM COMM. DAY SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,5.314022,-1.00919,6.2333,0.1333
LIKPE SENIOR HIGH SCHOOL,VOLTA,SCHOOL_OVERRIDE,9.4226781,-0.8620235,7.1333,0.55
ZIOPE SENIOR HIGH SCHOOL,VOLTA,SCHOOL_OVERRIDE,5.9668857,-0.9929572,6.45,0.4333
ASHIAMAN SENIOR HIGH SCHOOL,GREATER ACCRA,SCHOOL_OVERRIDE,7.142572,-1.6406402,5.6981,0.0314
KLIKOR SENIOR HIGH/TECH SCHOOL,VOLTA,SCHOOL_OVERRIDE,6.6556435,-1.1071968,6.2,1.1
"OLA GIRLS SENIOR HIGH SCHOOL, HO",VOLTA,TOWN_LOOKUP:HO,7.190168,0.337969,6.6,0.4667
VOLTA TECH INST,VOLTA,SCHOOL_OVERRIDE,,,6.6,0.4667
